**** BEGIN LOGGING AT Thu Jul 26 13:38:16 2018

Jul 26 13:40:15 <utkarsh2102>	Anyone up?
Jul 26 17:11:57 <philomath>	s/what/whom
Jul 26 17:12:13 <philomath>	s/whom/who
Jul 26 17:12:13 <philomath>	jasonbraganza, Hehe
Jul 26 17:12:19 <jasonbraganza>	s/whom/who
Jul 26 17:12:44 <fhackdroid>	jasonbraganza: that was me :P
Jul 26 17:12:53 <jasonbraganza>	awwwwwww
Jul 26 17:13:33 <batul>	fhackdroid actually ran to Forum mall, bought an iPhone and came back.
Jul 26 17:13:58 <fhackdroid>	batul: that is too far
Jul 26 17:14:10 <fhackdroid>	philomath: are ou noting it down?
Jul 26 17:14:42 <jasonbraganza>	philomath’s brain cells are burning up!
Jul 26 17:14:50 *	utkarsh2102 bids adieu. 
Jul 26 17:15:01 FiSHLiM plugin unloaded
Jul 26 17:15:01 Python interface unloaded
**** ENDING LOGGING AT Thu Jul 26 17:15:01 2018

**** BEGIN LOGGING AT Thu Jul 26 22:45:23 2018

Jul 26 22:45:23 *	Now talking on #dgplug
Jul 26 22:45:23 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 26 22:45:23 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 26 22:45:23 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 26 22:45:31 <philomath>	Will be booking this weekend
Jul 26 22:45:34 <siddharth_>	kushal, In my university we have to submit a project for the evaluation as an end semester project in any domain .I am thinking to opt for some python based project .But I am getting any good idea what project should I work on! So can you recommend and guide me something .I am a newbie in python language and I have nearly 4 complete months to work on the project ?
Jul 26 22:45:48 <philomath>	Hadn't enough money to book last weekend.
Jul 26 22:46:00 <utkarsh2102>	Hahahahahaha.
Jul 26 22:46:21 <utkarsh2102>	Shall I sponsor yours, philomath? :P
Jul 26 22:46:23 <siddharth_>	Any other suggestions are also welcome from other friends. ^^^
Jul 26 22:46:43 <philomath>	sayan, I love Bicycle trips :)
Jul 26 22:46:45 <maxking>	siddharth_: Python is a tool, you don't decide what to build based on what tool you use, it is other way round :)
Jul 26 22:47:04 <philomath>	utkarsh2102, Why not :D
Jul 26 22:47:27 <philomath>	utkarsh2102, That would be so helpful :P
Jul 26 22:47:37 <philomath>	homuncculus, You booked your flight?
Jul 26 22:50:12 <siddharth_>	maxking, Then guide me with something ?
Jul 26 22:51:28 <maxking>	That is pretty broad question, what to do :)
Jul 26 22:51:36 <maxking>	You need to narrow down the fields you are interested in
Jul 26 22:51:39 <homuncculus>	Not yet, was discussing and planning to book this weekend
Jul 26 22:51:51 <philomath>	siddharth_, Did you miss a "not" in your previous statement? or I didn't understand you.
Jul 26 22:52:30 <siddharth_>	maxking, And from when python became a tool.As per my knowledge it is a programming language not a tool.
Jul 26 22:53:03 <siddharth_>	philomath, Yes.I forgot to add "not"
Jul 26 22:53:35 <siddharth_>	philomath, You Got it exactly right.Help me out with some ideas and way to get started.
Jul 26 22:54:06 <philomath>	So, if you are struggling with ideas. I would suggest you to look for what you need.
Jul 26 22:54:19 <philomath>	As Plato said, "Necessity is the mother of invention"
Jul 26 22:54:23 <philomath>	siddharth_, ^^
Jul 26 22:55:53 <siddharth_>	philomath, Maybe some security tool or automation tool or anything.
Jul 26 23:02:12 <philomath>	siddharth_, still a broad category
Jul 26 23:02:21 <philomath>	siddharth_, What do you want to automate?
Jul 26 23:03:49 <philomath>	siddharth_, For example, you can automate test generation, server deployment and all. Since I don't have much experience in the related field, someone else might be help you better
Jul 26 23:08:36 <siddharth_>	philomath, Don't know.Please show some path.
Jul 26 23:10:37 <philomath>	siddharth_, Mostly mbuf guide us :)
Jul 26 23:10:58 <philomath>	But I will try. siddharth_ Which year of college are you in?
Jul 26 23:11:35 <chkumar|trekk>	cloud is always cloudy, i know about it when i started going on cloud9
Jul 26 23:12:09 <philomath>	siddharth_, And what do you like doing? Like website development, System level knowledge, and so on
Jul 26 23:12:57 <philomath>	chkumar|trekk, using cloud9?
Jul 26 23:13:20 <RJ722>	jasonbraganza: ping
Jul 26 23:14:22 <philomath>	RJ722, jasonbraganza bid good night an hour ago :)
Jul 26 23:14:37 <chkumar|trekk>	philomath: no, I am talking about openstack, it is very hard to debug the problems when you start using your own cloud through dogfooding
Jul 26 23:15:01 <siddharth_>	I am in third year of my engineering. Lately I did a certification in Ethical hacking So I have good knowledge of security and I am on linux from more than year now.I love linux too.
Jul 26 23:15:02 <RJ722>	philomath: oops!
Jul 26 23:15:05 <siddharth_>	philomath, ^^^
Jul 26 23:17:51 <sayan>	siddharth_: what did you learn at the ethical hacking certification?
Jul 26 23:20:58 <philomath>	chkumar|trekk, Ah, okay
Jul 18 23:37:00 *	RJ722 bids good night to everyone
Jul 18 23:38:27 <storymode7>	RJ722: good night
Jul 18 23:43:35 <rishibit>	priyankasaggu119, pm?
Jul 18 23:44:14 <Sarques>	kushal, in the pad there are some links that i can't open, it says 'Unknown notebook server' while others can see them, why so?
Jul 18 23:44:25 <Guest89650>	can anyone suggest me some good and easy documentations for android other that developer.android?
Jul 18 23:45:39 <priyankasaggu119>	yes, rishibit
Jul 18 23:47:34 <rishibit>	priyankasaggu119, I'm unable, you try
Jul 19 00:01:17 <siddharth__>	Do anybody have idea how many more days we are going to learn python before getting starting with some project here in dgplug ?I am not in any hurry .I am just making some plans for the futur.
Jul 19 00:01:50 <kushal>	siddharth__, at least I don't know, but, I know that we will be building small small projects along learning Python.
Jul 27 00:05:18 <philomath>	siddharth__, You can start with any project whenever you want
Jul 27 00:06:20 <philomath>	In the end of pym book, there are some little projects too.
Jul 27 00:06:32 <siddharth__>	philomath, Like ?
Jul 27 00:08:35 <philomath>	siddharth__, http://pymbook.readthedocs.io/en/latest/click.html
Jul 27 00:09:07 <philomath>	You might want to read the book completely. Don't wait for the session to teach. Learn yourself.
Jul 27 00:12:33 <siddharth__>	philomath, Yes I am on it. I am reading this book from more than 1 week now.Hopefully I will end this book before Monday.
Jul 12 00:13:59 <philomath>	siddharth__, Also, don't try to rush either.
Jul 12 00:14:06 <philomath>	Good luck
Jul 12 00:14:23 <philomath>	siddharth__, You from Delhi?
Jul 12 00:15:48 <siddharth__>	No I am basically from Odisha but currently in Chandigarh for university study.
Jul 12 00:17:58 <siddharth__>	philomath, No I think I can rush atleast in reading because I have prior knowledge of C,C++ and Java and also python as it was a subject in my last semester's syllabus.
Jul 12 00:29:43 <philomath>	siddharth__, Just make sure you understand everything and ask your doubts here if internet doesn't help you.
Jul 12 00:29:48 *	philomath BRB
Jul 27 00:34:50 <siddharth__>	Sure. philomath I will definitely follow your advice.
Jul 27 00:38:50 <siddharth__>	kushal, That's wonderful.
Jul 12 00:51:34 <utkarsh2102>	Helllloooooo.
Jul 12 00:53:36 <priyankasaggu119>	rishibit, you around?
Jul 27 00:58:10 *	skr is now known as Guest46998
Jul 27 01:07:02 *	philomath is back
Jul 27 01:07:12 <utkarsh2102>	Anyone up? :/
Jul 27 01:07:37 <priyankasaggu119>	rishibit, you around?
Jul 27 01:07:55 <utkarsh2102>	Saptaks, can I wake you up tomorrow via a tweet? :P
Jul 27 01:09:28 *	utkarsh2102 bids farewell.
Jul 27 01:09:48 FiSHLiM plugin unloaded
Jul 27 01:09:48 Python interface unloaded
**** ENDING LOGGING AT Fri Jul 27 01:09:48 2018

**** BEGIN LOGGING AT Thu Jul 12 02:04:17 2018

Jul 12 02:04:17 *	Now talking on #dgplug
Jul 12 02:04:17 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 12 02:04:17 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:55 2018)
Jul 12 02:04:17 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 12 02:10:24 Perl	hexchat_print called without a valid context.
Jul 12 02:10:24 FiSHLiM plugin unloaded
Jul 12 02:10:24 Python interface unloaded
Jul 12 02:10:24 Sysinfo	hexchat_command called without a valid context.
Jul 12 02:10:24 Sysinfo	hexchat_print called without a valid context.
Jul 12 02:10:24 Checksum	hexchat_print called without a valid context.
**** ENDING LOGGING AT Thu Jul 12 02:10:24 2018

**** BEGIN LOGGING AT Thu Jul 12 15:21:17 2018

Jul 12 15:21:17 *	Now talking on #dgplug
Jul 12 15:21:17 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 12 15:21:17 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 12 15:21:17 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 12 15:23:13 <utkarsh2102>	Hello, world!
Jul 12 15:23:34 <sigmapie8>	utkarsh2102 world is at sharda University
Jul 12 15:23:43 <sigmapie8>	utkarsh2102 error 404
Jul 12 15:24:03 <philomath>	schubisu, Great! I use e-reader, can't read on mobile much :D
Jul 12 15:24:11 <utkarsh2102>	Hahaha, where are you, sigmapie8? :P
Jul 12 15:25:07 <sigmapie8>	utkarsh2102 /whois sigmapie8 :)
Jul 12 15:26:52 <schubisu>	philomath: I was searching long for a good mobile reader. What I need is inverted colors because I hate reading black on white (drains my battery and stains my eyes) I found Document Viewer from F-Droid very nice. It also let's me scroll with volume keys ;)
Jul 12 15:28:09 <j605>	trying out wallabag, it is open source but I paid to get the luxory of not hosting it mysself :P
Jul 12 15:28:32 <j605>	it is a pocket alternative. Although mozilla said they are opensourcing it, they never did
Jul 12 15:30:39 <utkarsh2102>	Could someone name the most beginner-friendly organizations?  
Jul 12 15:32:11 <philomath>	schubisu, black on white works in daylight and invert in low light (night) for me :)
Jul 12 15:32:27 <sigmapie8>	utkarsh2102 I found coala really beginner friendly
Jul 12 15:33:32 <kps>	kvy ok thanks
Jul 12 15:33:38 <utkarsh2102>	sigmapie8, I already contribute to coala :P
Jul 12 15:33:55 <utkarsh2102>	Was looking for one more organization.
Jul 12 15:43:03 <rgvon>	schubisu, try ReadEra
Jul 12 15:44:52 <rgvon>	j605, I was also searching for alternatives to Pocket,although they are under Firefox-they operate independently. Wallabag is expensive. On mobile, I tried Linkaive.
Jul 12 15:46:17 <schubisu>	rgvon: ReadEra doesn't seem to be available in F-Droid. I don't have gapps installed and also won't install Aptoid or similar apps. I try to run my phone with FLOSS as much as possible
Jul 12 15:48:56 <rgvon>	schubisu, Oh I see. I tried FOSS alternative like Book Reader but didn't like its functionality. ReadEra is ad free and iirc doesn't had third party trackers but yes it's closed source.
Jul 12 15:50:08 <j605>	rgvon: their 3 month offer is cheap though but I didn't understand why it was made that way
Jul 12 15:50:43 <j605>	pocket is nice, I have nothing against it
Jul 12 15:51:23 FiSHLiM plugin unloaded
Jul 12 15:51:23 Python interface unloaded
**** ENDING LOGGING AT Thu Jul 12 15:51:23 2018

**** BEGIN LOGGING AT Fri Jul 27 22:33:33 2018

Jul 27 22:33:33 *	Now talking on #dgplug
Jul 27 22:33:33 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 27 22:33:33 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 27 22:33:33 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 27 22:33:52 <utkarsh2102>	Hello.
Jul 27 22:34:13 <abraj>	hello utkarsh2102
Jul 27 22:34:47 <utkarsh2102>	what's up? 
Jul 27 22:34:54 <kvy>	Sarques, "".join([str(x) for x in a]).lstrip('0')
Jul 27 22:34:55 <abraj>	nothing much really
Jul 27 22:34:56 <kvy>	done
Jul 27 22:35:13 <abraj>	what does an lstrip do?
Jul 27 22:35:32 <j605>	abraj: `pydoc lstrip`
Jul 27 22:35:42 <kvy>	abraj, It remove all '0' from string :)
Jul 27 22:35:54 <kvy>	from left side
Jul 27 22:36:17 <j605>	sorry it is in `pydoc str`
Jul 27 22:36:45 <abraj>	j605: thanks!
Jul 27 22:36:49 <abraj>	TIL pydoc
Jul 27 22:37:20 <abraj>	Wondeirng where does it come from, there is no man page on Linux
Jul 27 22:37:20 <utkarsh2102>	Best resource for Shell Scripting?
Jul 27 22:37:29 <kvy>	abraj, https://www.programiz.com/python-programming/methods/string/rstrip
Jul 27 22:37:43 <abraj>	s/Wondeirng/Wondering/
Jul 27 22:37:45 <kvy>	Sarques, Is it work
Jul 27 22:38:17 <Sarques>	kvy nope
Jul 27 22:38:24 <Sarques>	i got same output
Jul 27 22:38:47 <kvy>	Sarques, try this list("".join([str(x) for x in a]).lstrip('0'))
Jul 27 22:38:53 <kvy>	Sarques, what ?
Jul 27 22:39:12 <Sarques>	don't assume a solution, first check it by yourself.
Jul 27 22:39:34 <kvy>	>>>a = [0,0,0,2,4,6,2,0,87]
Jul 27 22:39:34 <kvy>	>>> list("".join([str(x) for x in a]).lstrip('0'))
Jul 27 22:39:35 <kvy>	['2', '4', '6', '2', '0', '8', '7']
Jul 27 22:39:49 <kvy>	see it's working fine here
Jul 27 22:40:03 <Sarques>	kvy yes now it is working!
Jul 27 22:40:11 <kvy>	Sarques, :)
Jul 27 22:40:23 <Sarques>	without list it was not working
Jul 27 22:40:36 <vishalIRC>	new_list = np.trim_zeros(list, ’f’)
Jul 27 22:40:52 <kvy>	Sarques, then it return a string so i cast it to list back
Jul 27 22:41:07 <Sarques>	kvy now what i say i want elements in their original form
Jul 27 22:41:22 <kvy>	Sarques, print a
Jul 27 22:41:22 <vishalIRC>	Sarques, you’ll need numpy for this ^^
Jul 27 22:42:04 <j605>	k = 0
Jul 27 22:42:10 <j605>	for i in listwithzeros:
Jul 27 22:42:22 <kvy>	yes Sarques you need numpy library of python for vishalIRC code
Jul 27 22:43:03 <j605>	ok my solution was to just to count the number of zeros and then listwithzeros[i:]
Jul 27 22:53:27 FiSHLiM plugin unloaded
Jul 27 22:53:27 Python interface unloaded
**** ENDING LOGGING AT Fri Jul 27 22:53:27 2018

**** BEGIN LOGGING AT Sat Jul 28 19:24:57 2018

Jul 28 19:24:57 *	Now talking on #dgplug
Jul 28 19:24:57 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 28 19:24:57 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 28 19:24:57 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
**** BEGIN LOGGING AT Sat Jul 28 19:25:07 2018

Jul 28 19:25:07 *	Now talking on #dgplug
Jul 28 19:25:07 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 28 19:25:07 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 28 19:25:07 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
**** ENDING LOGGING AT Sat Jul 28 19:27:04 2018

Jul 28 19:32:30 <utkarsh1207>	`
Jul 28 19:33:11 <jasonbraganza>	’
Jul 28 19:34:24 <kvy>	what's this  ` '
**** BEGIN LOGGING AT Sun Jul 29 00:16:16 2018

Jul 29 00:16:16 *	Now talking on #dgplug
Jul 29 00:16:16 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 29 00:16:16 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 29 00:16:16 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 29 00:16:37 <utkarsh2102>	Hello.
Jul 29 00:16:58 <kvy>	utkarsh2102, hello
Jul 29 00:17:10 <BhaveshSGupta[m]>	utkarsh2102, hi
Jul 29 00:17:20 <utkarsh2102>	What do you do, kvy? 
Jul 29 00:17:53 <utkarsh2102>	Hi, BhaveshSGupta[m] :D
Jul 29 00:24:48 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Sun Jul 29 00:24:48 2018

**** BEGIN LOGGING AT Sun Jul 29 00:25:16 2018

Jul 29 00:25:16 *	Now talking on #dgplug
Jul 29 00:25:16 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 29 00:25:16 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 29 00:25:16 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 29 00:25:49 <BhaveshSGupta[m]>	kvy, let me 'C' :D
Jul 29 00:27:43 <storymode7>	good night everyone :)
Jul 29 00:27:54 <kvy>	BhaveshSGupta[m], when my this link got destroy ?
Jul 29 00:28:02 <kvy>	storymode7, good night :)
Jul 29 00:29:06 <BhaveshSGupta[m]>	kvy, https://paste.fedoraproject.org/paste/mK51jeRMrvhVh3lEi87aOA
Jul 29 00:45:30 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Sun Jul 29 00:45:30 2018

**** BEGIN LOGGING AT Sun Jul 29 00:45:58 2018

Jul 29 00:45:58 *	Now talking on #dgplug
Jul 29 00:45:58 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 29 00:45:58 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 29 00:45:58 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 29 00:50:28 <BhaveshSGupta[m]>	kvy, here?
Jul 29 00:50:43 <kvy>	BhaveshSGupta[m], yes
Jul 29 00:50:56 <BhaveshSGupta[m]>	kvy, did you check last link?
Jul 29 00:51:14 <kvy>	BhaveshSGupta[m], yes editing my code :)
Jul 29 00:54:38 <kvy>	BhaveshSGupta[m], https://paste.fedoraproject.org/paste/D8xeypAN9gcOeIlpxaM6rg
Jul 29 00:55:16 <kvy>	It can even handle comments after a '{' .
Jul 29 00:55:34 <kvy>	example 'else{ // any comment'
Jul 29 00:56:15 <kvy>	BhaveshSGupta[m], i mean for this code too it work fine
Jul 29 00:56:19 <kvy>	#include<stdio.h>
Jul 29 00:56:19 <kvy>	#include<string.h>
Jul 29 00:56:19 <kvy>	int main()
Jul 29 00:56:19 <kvy>	{
Jul 29 00:56:19 <kvy>	char A[20] = "aaaa";
Jul 29 00:56:19 <kvy>	char B[20] = "AAAA";
Jul 29 00:56:21 <kvy>	void test();
Jul 29 00:56:23 <kvy>	int x;
Jul 29 00:58:17 <kvy>	x = strcmpi()
Jul 29 00:58:17 <kvy>	if ( x == 0 )
Jul 29 00:58:17 <kvy>	printf("Both Stings are Equal.");
Jul 29 00:58:17 <kvy>	else if ( x == 1 )
Jul 29 00:58:17 <kvy>	printf("First Stings is greater.");
Jul 29 00:58:17 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Sun Jul 29 00:58:17 2018

**** BEGIN LOGGING AT Sun Jul 29 00:58:45 2018

Jul 29 00:58:45 *	Now talking on #dgplug
Jul 29 00:58:45 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 29 00:58:45 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 29 00:58:45 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 29 01:00:19 <ann>	kvy handle comments mean?
Jul 29 01:00:59 <kvy>	ann, 1 mistake was there i have to correct it
Jul 29 01:01:11 <kvy>	ann, my mean see that comment after else
Jul 29 01:02:15 <ann>	kvy I don't see you doing anything for comments in the code. I don't understand how will it indent because you are using ends with('{')
Jul 29 01:04:26 <kvy>	ann, check this link https://paste.fedoraproject.org/paste/YhnsbKuXvJMqNMkOw4zwmg
Jul 29 01:04:50 <kvy>	ann, i change 'x'
Jul 29 01:05:22 <kvy>	ann, first please tell me is this code work for you ?
Jul 29 01:06:00 <kvy>	If it's correct then we can discuss about it :)
Jul 29 01:06:05 <ann>	kvy not tried
Jul 29 01:06:12 <ann>	wait let me check then
Jul 29 01:06:17 <kvy>	BhaveshSGupta[m], are you here ?
Jul 29 01:07:44 <BhaveshSGupta[m]>	kvy, yes
Jul 29 01:08:01 <kvy>	BhaveshSGupta[m], check this https://paste.fedoraproject.org/paste/YhnsbKuXvJMqNMkOw4zwmg
Jul 29 01:08:26 <BhaveshSGupta[m]>	kvy, yes checking same.
Jul 29 01:09:25 <kvy>	ann, my bed I wrote handle comments :)
Jul 29 01:10:14 <ann>	kvy have you run this on your machine?
Jul 29 01:10:28 <kvy>	ann, yes
Jul 29 01:10:38 <BhaveshSGupta[m]>	I was going to ask same
Jul 29 01:11:07 <ann>	provide your example as well. Explain line 4.
Jul 29 01:11:25 <ann>	It seems you are truncating line numbers
Jul 29 01:11:37 <kvy>	BhaveshSGupta[m], ann , yes and i use a c file with a code which i pasted above
Jul 29 01:12:19 <utkarsh2102>	I need help in starting Haskell. Can someone guide me with the same?
Jul 29 01:13:33 <kvy>	ann, i cast x to string first then i remove "b'" from beginning and "'" from last using [2:-1] because i open it as a binary file
Jul 29 01:13:43 <ann>	utkarsh2102:  May I know your purpose of learning Haskell?
Jul 29 01:14:26 <utkarsh2102>	ann, I want to learn a functional language. Hence, Haskell/
Jul 29 01:15:07 <utkarsh2102>	Knowing functional programming language has it's own perks :D
Jul 29 01:16:09 <BhaveshSGupta[m]>	https://paste.fedoraproject.org/paste/bwguO2x0Vq1cfD0PFVfbNQ
Jul 29 01:16:09 <BhaveshSGupta[m]>	kvy try on above code what output do you get?
Jul 29 01:16:09 *	Disconnected (Connection reset by peer)
**** ENDING LOGGING AT Sun Jul 29 01:16:09 2018

**** BEGIN LOGGING AT Sun Jul 29 01:16:37 2018

Jul 29 01:16:37 *	Now talking on #dgplug
Jul 29 01:16:37 *	Topic for #dgplug is: Welcome to Linux User's Group of Durgapur | Mailing list at http://lists.dgplug.org/listinfo.cgi/users-dgplug.org | Old classes https://www.dgplug.org/irclogs/ | https://docs.python.org/3/tutorial/ | What is a hacker? One who doubts -- @Snowden |  Calendar URL: https://calendar.dgplug.org/index.php/apps/calendar/p/yQ8Tq48XMPeCNa8a/dgplug
Jul 29 01:16:37 *	Topic for #dgplug set by kushal!~hopless@fedora/kushal (Wed Jul 18 19:01:51 2018)
Jul 29 01:16:37 -ChanServ-	[#dgplug] Welcome to #dgplug. Remember to register your nick to freenode. Read http://www.wikihow.com/Register-a-User-Name-on-Freenode for more info.
Jul 29 01:16:38 <BhaveshSGupta[m]>	https://paste.fedoraproject.org/paste/bwguO2x0Vq1cfD0PFVfbNQ
Jul 29 01:16:38 <BhaveshSGupta[m]>	kvy, this one
Jul 29 01:16:40 <kvy>	ann, i thin you open file in text mode
Jul 29 01:19:05 <ann>	also it is giving error in end = ' ' which is not supposed to be
Jul 29 01:19:29 <BhaveshSGupta[m]>	ann, are you checking in python 2?
Jul 29 01:19:49 <ann>	oops sorry
Jul 29 01:19:52 <kvy>	BhaveshSGupta[m], https://paste.fedoraproject.org/paste/1ZAqgfz6WtNtmmfYO-7whg
Jul 29 01:20:22 <kvy>	BhaveshSGupta[m], i modify it for void main() :)
Jul 29 01:22:24 <ann>	kvy if I give if {
Jul 29 01:22:37 <ann>	that is space between if and { on the same line
Jul 29 01:22:43 <ann>	check what you are getting
Jul 29 01:24:39 <kvy>	ann, hmm again changing code for this condition :)
Jul 29 01:24:41 <ann>	kvy for functions ?
Jul 29 01:25:16 <ann>	for functions in the code? boolean calculate() , double foo()
Jul 29 01:25:20 <ann>	etc
Jul 29 01:25:45 <kvy>	ann, hmm i have to work hard on it :)
Jul 29 01:26:14 <kvy>	ann, can you send me an example who contain all the above contain.
Jul 29 01:26:25 <kvy>	*condition
Jul 29 01:27:09 <ann>	kvy ok wait
Jul 29 01:28:39 <BhaveshSGupta[m]>	kvy, that is much static stuff, which is not good. would you create condtition for each and every return type?
Jul 29 01:29:12 <BhaveshSGupta[m]>	kvy, what you have done is great now to try to generalize it.
Jul 29 01:29:17 <ann>	kvy  I agree with BhaveshSGupta[m]
Jul 29 01:29:37 <kvy>	ok It's too late here I have to go ann, BhaveshSGupta[m]  i will try to solve it on Monday or tomorrow evening good morning
